;Geralt;Niedamir;Eyck;Dorregaray;Yennefer;Boholt;Gyllenstiern;Yarpen;Kennet;Sambuk;Villentretenmerth;Istredd;Herbolth;Cykada;Dandelion;Vespula;Dainty;Dudu;Vimme;Vanda;Sulimir;Ther;Arno;Rhundurin;Agloval;Budibog;Teleri;Mestvin;Dalia;Gaspard;Essi;Zelest;Veverka;Akeretta;Ethain;Juan;Putzi;Gritzi;Mitzi;Ebbing;Cynthia;Ciri;Braenn;Freixenet;Eithné;Dunca;Kistrin;Ervyll;Marck;Voymir;Alvina;Vesemir;Sirssa;Venzlav;Ekkehard;Viraxas;Calanthe;Pavetta;Brick;Levecque;Junghans;Mousesack;Yurga;Roach;Dezmod;Vell;Visenna;Triss;Dagobert;Vanielle;Lawdbor;Lytta;Gorazd;Nadbor;Sulik;Effenberg;Talbot;Aplegatt;Foltest;Meve;Emhyr;Vissegerd;Codringher;Rience;Dijkstra;Philippa;Vizimir;Sabrina;Henselt;Vilgefortz;Fenn;Dagorad;Roegner;Eist;Akerspaark;Gorm;Orm;Horm;Gonzalez;Torm;Argentina;Alia;Valia;Ithlinne;Heimo;Ralf;Little;Hansom;Cairbre;Toruviel;Yaevinn;Wilfli;Jarre;Molnar;Fabio;Nenneke;Hugo;Justin;Leila;Tissaia;Margarita;Rayla;Falka;Lars;Lara;Bernie;Franklin;Petunia;Drithelm;Esterad;Gerhart;Francesca;Artaud;Lydia;Fercart;Carduin;Radcliffe;Marti;Keira;Agnes;Giambattista;Geoffrey;Raffard;Herbert;Aurora;Radmir;Klara;Leticia;Yanna;Ilona;Yiolenta;April;Jada;Nora;Carla;Augusta;Cregennan;Immanuel;Ransant;Fiona;Elen;Bianca;Marquard;Rejean;Cahir;Ceallach;Peter;Morvran;Jan;Ettariel;Fauve;Elan;Menno;Audegast;Marder;Blaise;Hedwig;Bronibor;Willemer;Digod;Bode;Hrafnir;Mansfeld;Filavandrel;Ardal;Dervla;Aine;Clara;Stella;Vattier;Stefan;Xarthisius;Paulie;Eskel;Lambert;Roderick;Skomlik;Remiz;Vercta;Kayleigh;Lutz;Giselher;Reef;Mistle;Iskra;Asse;Rudiger;Vera;Sheldon;Donimir;Ironware;Mama;Gruzila;Nicodemus;Axel;Milan;Regan;Yannick;Xavier;Lucas;Vilfrid;Schrader;Zyvik;Aelirenn;Everett;Iola;Boatbug;Linus;Boratek;Olsen;Stran;Vitek;Shani;Ori;Wolfgang;Crach;Medell;Virfuril;Myhrman;Toublanc;Flavius;Rizzi;Lodovico;Eurneid;Pelligram;Hrosvitha;Myrrha;Anna;Marquis;Kelpie;Sandy;Herwig;Freya;Loki;Ragnar;Caldemeyn;Annika;Chireadan;Biberveldt;Gardenia;Kashka;Morenn;Mona;Sulivoy;Matholm;Yves;Devereux;Merle;Willem;Bonhart;Galahad;Vissing;Flourens;Milva;Shilard;Count;Coinneach;Aen;Ciaran;Assire;Sheala;Tugdual;Tuzik;Milenka;Mykitka;Zgarba;Kolda;Angus;Riordain;Zoltan;Field;Caleb;Figgis;Percival;Munro;Yazon;Regis;Brouver;Silvester;Hector;Anzelm;Aubry;Daniel;Adalia;Muriel;Riannon;Vreemde;Morteisen;Fringilla;Merlin;Albrich;Cosmo;Echel;Vascoigne;Millet;Servadio;Pinto;Ida;Vanadain;Aevenien;Cerro;Goidemar;Vridank;Houtborg;Amavet;Adela;Robert;Crispin;Corbett;Connor;Nimue;Bronik;Orla;Roger;Velerad;Ostrit;Segelin;Lord;Rulle;Nivellen;Glutton;Fenne;Primula;Ilka;Venimira;Vereena;Falwick;Hereward;Ermellia;Dragomir;Trigla;Borg;Carrypebble;Karelka;Irion;Stregobor;Idi;Zavist;Eltibald;Mad;Evermir;Fialka;Silvena;Bernika;Abrad;Fredefalk;Aridea;Renfri;Nimir;Vyr;Nohorn;Tavik;Civril;Fifteen;Audoen;Libushe;Marilka;Abergard;Haxo;Ravix;Drogodar;Rainfarn;Windhalm;Eylembert;Bran;Draig;Tinglant;Fodcat;Wieldhill;Zatret;Supree;Rumplestelt;Nettly;Dhun;Lille;Galarr;Torque;Valdo;Virginia;Errdil;Vratimir;Heribert;Beau;Cerberus;Laurelnose;Krepp;Neville;Dennis;Zuleyka;Sigrdrifa;Dominik;Vysogota;Baron;Big;Valdez;Nycklar;Mawr;Torres;Carthia;Kamil;Schliemann;Joanna;Dacre;Neratin;Til;Dufficey;Chloe;Andres;Bert;Ola;Rispat;Stigward;Dede;Esterhazy;Boreas;Rupert;Stavro;Windsor;Declan;Pennycuick;Amaranth;Horsehide;Golan;Novosad;Yirrel;Homer;Draakul;Bucephalus;Gabriel;Weasel;Lady;Benda;Gedovius;Gemma;Aideen;Gerard;Esteril;Ruyter;Demavend;Joachim;Jediah;Fergus;Marie;Tankred;Lebioda;Gaudemunda;Guiscard;Julia;Lorenzo;Adam;Surcratasse;Guthlaf;Buyvid;Sven;Asa;Hjalmar;Yuz;Milo;Katje;Gosta;Condwiramurs;Fisher;Alcides;Malatesta;Jean;Palmerin;Notturna;Fulko;Dyffryn;Amadis;Guy;Eredin;Auberon;Ihuarraquax;Okultich;Melfi;Milton;Ograbek;Pike;Klaproth;Cedric;Elkana;Blasco;Evangelina;Incarvilia;Impatientia;Holofernes;Aarhenius;Puttkammer;John;Barclay;Kees;Ouder;Ramon;Liam;Andy;Didi;Abonde;Devlin;Isengrim;Kobus;Lamarr;Deuslax;Lucienne;Aillil;Dheran;Gruffyd;Cinead;Eviva;Braathens;Otto;Cyrus;Nitert;Hamilcar;Berengar;Orestes;Istvan;Albert;Goulue;Nadia;Eudora
Geralt;0;51;54;99;847;64;49;161;2;0;26;74;35;3;1518;16;118;20;3;0;0;0;0;0;77;6;5;0;0;0;176;15;7;7;18;3;3;3;3;3;5;1282;132;67;96;0;26;22;0;4;0;111;0;31;2;5;243;103;4;25;10;124;56;98;12;0;15;393;1;2;5;5;5;0;0;0;0;0;53;48;61;90;120;107;99;126;10;54;29;121;8;0;20;55;11;0;0;0;0;0;0;0;0;2;0;0;1;0;0;43;0;0;22;0;0;152;0;0;0;35;9;10;5;0;23;5;0;0;2;2;0;7;4;34;6;1;7;20;38;0;0;5;0;0;0;3;0;2;2;2;2;2;2;2;2;2;6;0;0;0;0;0;0;0;441;36;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;33;0;0;0;0;0;5;0;0;25;92;60;4;2;0;0;0;0;0;0;8;0;0;0;12;0;0;0;2;0;0;0;0;12;9;5;3;7;0;0;11;32;23;32;11;4;31;0;2;49;0;0;35;0;0;4;4;1;0;0;12;0;0;0;21;0;33;2;10;12;3;2;45;5;98;8;7;4;3;8;0;0;0;0;0;0;23;20;10;0;521;0;33;0;6;0;4;0;0;0;0;0;0;4;0;0;227;22;11;9;66;11;14;457;0;0;4;4;4;15;0;0;0;0;4;138;0;0;0;0;1;5;0;0;0;5;0;5;0;1;0;0;0;0;0;0;2;9;4;0;5;6;24;0;1;3;76;3;4;10;4;4;13;56;35;0;0;0;0;21;0;29;67;5;3;5;0;0;0;0;0;3;8;13;89;5;5;14;27;20;8;5;13;9;1;22;8;27;28;9;2;0;15;0;5;0;0;0;0;39;49;44;10;30;4;0;16;16;0;13;8;8;33;11;21;0;0;0;5;13;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;18;8;2;1;3;7;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;8;0;4;14;4;0;4;2;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
Niedamir;51;0;27;31;34;33;54;29;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eyck;54;27;0;22;16;27;26;15;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dorregaray;99;31;22;0;104;48;25;18;0;0;8;0;0;0;10;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;7;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;9;19;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;3;0;0;0;0;0;5;3;4;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yennefer;847;34;16;104;0;83;26;88;5;0;24;46;0;0;161;4;3;0;0;0;0;0;0;0;6;0;0;0;0;0;21;0;3;0;0;0;0;0;0;0;3;836;0;5;4;0;0;0;0;0;0;8;0;0;0;0;23;1;0;0;0;0;1;0;0;0;0;252;0;5;0;0;0;0;0;0;0;5;8;1;19;3;12;61;67;138;4;55;7;115;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;3;49;34;29;112;0;0;0;115;74;17;2;3;15;0;0;1;2;6;5;104;26;6;19;7;23;12;36;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;1;0;0;2;0;1;1;1;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9;6;0;1;15;4;0;2;0;0;0;0;0;0;3;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;3;5;0;108;0;0;0;0;0;0;0;12;0;5;0;0;0;5;3;9;3;2;1;7;3;34;6;0;1;0;0;0;0;0;0;0;0;7;13;10;0;4;0;0;0;19;0;24;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11;0;0;0;0;0;0;1;0;3;0;0;68;0;0;0;0;0;0;0;0;46;4;3;0;4;0;0;0;0;0;0;0;5;9;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;15;4;0;10;0;9;20;12;0;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;8;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boholt;64;33;27;48;83;0;35;63;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gyllenstiern;49;54;26;25;26;35;0;16;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yarpen;161;29;15;18;88;63;16;0;6;0;8;0;0;0;11;0;4;3;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;2;11;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;4;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;35;11;11;4;8;0;3;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;1;6;6;10;6;6;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kennet;2;2;5;0;5;9;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sambuk;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
